Origin,Destination,Distance,Origin_Lat,Origin_Long,Origin_State,Dest_Lat,Dest_Long,Dest_State,Ratings,Ideal_duration,Name,Type,Best Time to visit
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,India Gate,War Memorial,Evening
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Humayun's Tomb,Tomb,Afternoon
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Akshardham Temple,Temple,Afternoon
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Waste to Wonder Park,Theme Park,Evening
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Jantar Mantar,Observatory,Morning
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Chandni Chowk,Market,Afternoon
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Lotus Temple,Temple,Evening
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Red Fort,Fort,Afternoon
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Agrasen ki Baoli,Stepwell,Afternoon
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Sunder Nursery,Park,Afternoon
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Garden of Five Senses,Park,Morning
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Lodhi Garden,Park,All
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,National Gallery of Modern Art,Museum,All
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,National Zoological Park ,Zoo,All
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,Qutub Minar,Monument,Afternoon
Agra,Delhi,240,27.187935,78.003944,Uttar Pradesh,28.651952,77.231495,Delhi,4.1,03-May,National Science Centre,Science,All
Agra,Lucknow,334,27.187935,78.003944,Uttar Pradesh,26.839281,80.923133,Uttar Pradesh,4.2,01-Feb,Bara Imambara,Monument,All
Agra,Lucknow,334,27.187935,78.003944,Uttar Pradesh,26.839281,80.923133,Uttar Pradesh,4.2,01-Feb,Phoenix Palassio,Mall,All
Agra,Kanpur,277,27.187935,78.003944,Uttar Pradesh,26.449923,80.331874,Uttar Pradesh,4.2,,Allen Forest Zoo,Zoo,All
Ahmedabad,Mumbai,526,23.025793,72.587265,Gujarat,18.987807,72.836447,Maharashtra,4.2,03-May,Marine Drive,Promenade,Evening
Ahmedabad,Mumbai,526,23.025793,72.587265,Gujarat,18.987807,72.836447,Maharashtra,4.2,03-May,Gateway of India,Monument,All
Ahmedabad,Mumbai,526,23.025793,72.587265,Gujarat,18.987807,72.836447,Maharashtra,4.2,03-May,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,All
Ahmedabad,Mumbai,526,23.025793,72.587265,Gujarat,18.987807,72.836447,Maharashtra,4.2,03-May,Sanjay Gandhi National Park,National Park,All
Ahmedabad,Mumbai,526,23.025793,72.587265,Gujarat,18.987807,72.836447,Maharashtra,4.2,03-May,Siddhivinayak Temple,Temple,All
Ahmedabad,Mumbai,526,23.025793,72.587265,Gujarat,18.987807,72.836447,Maharashtra,4.2,03-May,Mahalaxmi Temple,Temple,All
Ahmedabad,Mumbai,526,23.025793,72.587265,Gujarat,18.987807,72.836447,Maharashtra,4.2,03-May,Haji Ali Dargah,Religious Shrine,All
Ahmedabad,Mumbai,526,23.025793,72.587265,Gujarat,18.987807,72.836447,Maharashtra,4.2,03-May,Chowpatty Beach,Beach,Evening
Ahmedabad,Mumbai,526,23.025793,72.587265,Gujarat,18.987807,72.836447,Maharashtra,4.2,03-May,Essel World,Amusement Park,All
Ahmedabad,Mumbai,526,23.025793,72.587265,Gujarat,18.987807,72.836447,Maharashtra,4.2,03-May,Elephanta Caves,Monument,All 
Ahmedabad,Pune,663,23.025793,72.587265,Gujarat,18.513271,73.849852,Maharashtra,4.1,01-Mar,Shaniwar Wada,Fort,All
Ahmedabad,Jaipur,660,23.025793,72.587265,Gujarat,26.913312,75.787872,Rajasthan,4.4,02-Mar,Hawa Mahal,Palace,Morning
Ahmedabad,Jaipur,660,23.025793,72.587265,Gujarat,26.913312,75.787872,Rajasthan,4.4,02-Mar,Amber Fort,Fort,All
Ahmedabad,Jaipur,660,23.025793,72.587265,Gujarat,26.913312,75.787872,Rajasthan,4.4,02-Mar,Jaigarh Fort,Fort,All
Ahmedabad,Jaipur,660,23.025793,72.587265,Gujarat,26.913312,75.787872,Rajasthan,4.4,02-Mar,City Palace,Palace,Morning
Ahmedabad,Jaipur,660,23.025793,72.587265,Gujarat,26.913312,75.787872,Rajasthan,4.4,02-Mar,Albert Hall Museum,Museum,All
Ahmedabad,Udaipur,258,23.025793,72.587265,Gujarat,24.57951,73.690508,Rajasthan,4.3,02-Mar,City Palace,Palace,All
Ahmedabad,Udaipur,258,23.025793,72.587265,Gujarat,24.57951,73.690508,Rajasthan,4.3,02-Mar,Lake Pichola,Lake,All
Bengaluru,Pune,839,12.977063,77.587106,Karnataka,18.513271,73.849852,Maharashtra,4.1,01-Mar,Shaniwar Wada,Fort,All
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Charminar,Landmark,Morning
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Golconda Fort,Fort,Morning
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Hussain Sagar Lake,Lake,Evening
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Ramoji Film City,Film Studio,All
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Salar Jung Museum,Museum,All
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Qutb Shahi Tombs,Tombs,Morning
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Birla Mandir,Temple,All
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Chowmahalla Palace,Palace,Morning
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Nehru Zoological Park,Zoo,Morning
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Lumbini Park,Park,Evening
Bengaluru,Hyderabad,576,12.977063,77.587106,Karnataka,17.384052,78.456355,Telangana,4.1,02-Apr,Inorbit Mall Cyberabad,Mall,All
Bengaluru,Chennai,346,12.977063,77.587106,Karnataka,13.084622,80.248357,Tamil Nadu ,3.9,02-Mar,Marina Beach,Beach,Morning
Bengaluru,Goa,562,12.977063,77.587106,Karnataka,15.299326,74.123996,Goa,4.5,03-Jul,Calangute Beach,Beach,Evening
Bengaluru,Goa,562,12.977063,77.587106,Karnataka,15.299326,74.123996,Goa,4.5,03-Jul,Basilica of Bom Jesus,Church,Afternoon
Bengaluru,Goa,562,12.977063,77.587106,Karnataka,15.299326,74.123996,Goa,4.5,03-Jul,Fort Aguada,Fort,Morning
Bengaluru,Goa,562,12.977063,77.587106,Karnataka,15.299326,74.123996,Goa,4.5,03-Jul,Dudhsagar Falls,Waterfall,Afternoon
Bengaluru,Goa,562,12.977063,77.587106,Karnataka,15.299326,74.123996,Goa,4.5,03-Jul,Anjuna Beach,Beach,Evening
Bengaluru,Goa,562,12.977063,77.587106,Karnataka,15.299326,74.123996,Goa,4.5,03-Jul,Chapora Fort,Fort,Evening
